,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
27,27,purpose:major_purch__car__home_impr,0.2691765271602943,6.1167355277820205e-18,purpose,20.990503747052607,21.0,0.009496252947393202,21.0
28,28,initial_list_status:w,0.054367190060910925,3.1192070404811134e-05,initial_list_status,4.239577346247178,4.0,-0.2395773462471782,4.0
29,29,term:36,0.07843428747880458,2.001900203879014e-08,term,6.116340167509608,6.0,-0.11634016750960807,6.0
30,30,emp_length:1,0.10000695291812221,0.00011503115867859434,emp_length,7.798586088114172,8.0,0.2014139118858278,8.0
31,31,emp_length:2-4,0.1262441037549501,2.2263274838860147e-11,emp_length,9.844570627562742,10.0,0.15542937243725774,10.0
32,32,emp_length:5-6,0.09149150734628433,1.9069568620276837e-05,emp_length,7.134547904439101,7.0,-0.13454790443910092,7.0
33,33,emp_length:7-9,0.0617225253811297,0.0029982020235021583,emp_length,4.813149623253116,5.0,0.1868503767468841,5.0
34,34,emp_length:10,0.12587267897791615,8.539520912138748e-12,emp_length,9.815606760407132,10.0,0.18439323959286824,10.0
35,35,mths_since_issue_d:<38,1.091351198886392,4.3158794502834214e-185,mths_since_issue_d,85.10404555421532,85.0,-0.10404555421531825,85.0
36,36,mths_since_issue_d:38-39,0.88686634492613,5.6593182019879654e-154,mths_since_issue_d,69.15822688068604,69.0,-0.15822688068604407,69.0
37,37,mths_since_issue_d:40-41,0.7863635317571213,6.28590742765017e-128,mths_since_issue_d,61.320973392542406,61.0,-0.3209733925424061,61.0
38,38,mths_since_issue_d:42-48,0.5855829574955886,2.4182250151173562e-91,mths_since_issue_d,45.66401607596943,46.0,0.33598392403057176,46.0
39,39,mths_since_issue_d:49-52,0.42452366116168655,6.741617359877014e-43,mths_since_issue_d,33.10454144844659,33.0,-0.10454144844658941,33.0
40,40,mths_since_issue_d:53-64,0.1785381582806092,8.020400980173968e-10,mths_since_issue_d,13.9224839547369,14.0,0.07751604526309919,14.0
41,41,mths_since_issue_d:65-84,-0.06258303558933828,0.03141590693107828,mths_since_issue_d,-4.880252587023144,-5.0,-0.11974741297685565,-5.0
42,42,int_rate:<9.548,0.8720034560868195,1.337639712548217e-30,int_rate,67.99921228470758,68.0,0.0007877152924180564,68.0
43,43,int_rate:9.548-12.025,0.5572096015762742,8.54212430689009e-36,int_rate,43.451449326469145,43.0,-0.45144932646914526,43.0
44,44,int_rate:12.025-15.74,0.30564842793566,8.050809832984162e-17,int_rate,23.83459857940607,24.0,0.16540142059393048,24.0
45,45,int_rate:15.74-20.281,0.11287966880203662,9.750499881019497e-05,int_rate,8.802406123414437,9.0,0.1975938765855627,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05401437794931715,0.0299062051879192,mths_since_earliest_cr_line,4.2120649029129025,4.0,-0.21206490291290248,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03597283035928553,0.07321089174280936,mths_since_earliest_cr_line,2.8051771022330514,3.0,0.1948228977669486,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07742814302862093,0.0031619198591519714,mths_since_earliest_cr_line,6.0378805816220185,6.0,-0.03788058162201846,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12051324683262335,2.6685247117160554e-07,mths_since_earliest_cr_line,9.397675889113698,9.0,-0.3976758891136978,9.0
50,50,mths_since_earliest_cr_line:>352,0.1285050701989144,1.255697579050865e-06,mths_since_earliest_cr_line,10.02088178334837,10.0,-0.02088178334837032,10.0
51,51,inq_last_6mths:0,0.6558591310887648,4.1287292652974485e-14,inq_last_6mths,51.14418294155071,51.0,-0.1441829415507101,51.0
52,52,inq_last_6mths:1-2,0.5095818190234814,4.148656047988628e-09,inq_last_6mths,39.7374139360695,40.0,0.2625860639304989,40.0
53,53,inq_last_6mths:3-6,0.2993202363325999,0.0006040590163040283,inq_last_6mths,23.341123420344378,23.0,-0.3411234203443776,23.0
54,54,acc_now_delinq:>=1,0.20168415919924235,0.0556270480930088,acc_now_delinq,15.727419266657806,16.0,0.2725807333421937,16.0
55,55,annual_inc:20K-30K,-0.07978817549768843,0.058029979471112,annual_inc,-6.221916949531718,-6.0,0.22191694953171837,-6.0
56,56,annual_inc:30K-40K,-0.0176406942728347,0.6627441313469666,annual_inc,-1.375629083044231,-1.0,0.37562908304423104,-1.0
57,57,annual_inc:40K-50K,0.07722904514899315,0.05586842783496166,annual_inc,6.022354841571629,6.0,-0.022354841571629258,6.0
58,58,annual_inc:50K-60K,0.14413024665186816,0.0004268390410356687,annual_inc,11.239339902056367,11.0,-0.23933990205636668,11.0
59,59,annual_inc:60K-70K,0.21968769958663528,1.5179552333688312e-07,annual_inc,17.13134324899206,17.0,-0.13134324899206007,17.0
60,60,annual_inc:70K-80K,0.293107513053326,6.524137376484741e-12,annual_inc,22.856652531858092,23.0,0.1433474681419078,23.0
61,61,annual_inc:80K-90K,0.36887117277141324,1.048087023940729e-16,annual_inc,28.764735974274664,29.0,0.23526402572533556,29.0
62,62,annual_inc:90K-100K,0.38925686154907957,2.7423538292964996e-17,annual_inc,30.35442093376237,30.0,-0.3544209337623698,30.0
63,63,annual_inc:100K-120K,0.4668065139253546,1.4674542162670034e-24,annual_inc,36.40177686765282,36.0,-0.4017768676528206,36.0
64,64,annual_inc:120K-140K,0.5570620470975812,6.910861520350053e-27,annual_inc,43.439942963449404,43.0,-0.4399429634494041,43.0
65,65,annual_inc:>140K,0.4946267656763727,2.417762709201034e-25,annual_inc,38.57121231131594,39.0,0.4287876886840607,39.0
66,66,dti:<=1.4,0.24292045060984307,0.0035700367995061574,dti,18.943043372147958,19.0,0.05695662785204192,19.0
67,67,dti:1.4-3.5,0.3623064632818438,2.2527119045649105e-07,dti,28.252817046599883,28.0,-0.25281704659988335,28.0
68,68,dti:3.5-7.7,0.3775268258800251,3.7494752300594586e-10,dti,29.439707603213584,29.0,-0.43970760321358426,29.0
69,69,dti:7.7-10.5,0.3131635967301833,1.7097338907043848e-07,dti,24.420634740899587,24.0,-0.42063474089958675,24.0
70,70,dti:10.5-16.1,0.2337557254863653,5.384485922284351e-05,dti,18.22837408402497,18.0,-0.22837408402497061,18.0
71,71,dti:16.1-20.3,0.13241095363484665,0.022372657496277225,dti,10.325464288228758,10.0,-0.3254642882287584,10.0
72,72,dti:20.3-21.7,0.1201976664202435,0.04760720967720466,dti,9.373066790027538,9.0,-0.3730667900275382,9.0
73,73,dti:21.7-22.4,0.08450266728713421,0.19188162877176507,dti,6.589555088769914,7.0,0.4104449112300861,7.0
74,74,dti:22.4-35,0.04301412325787251,0.45287121610085856,dti,3.354260213346488,3.0,-0.35426021334648805,3.0
75,75,mths_since_last_delinq:Missing,0.13327081654215922,0.00905664226167474,mths_since_last_delinq,10.392516775190774,10.0,-0.3925167751907743,10.0
76,76,mths_since_last_delinq:4-30,0.15955620967176676,0.002021834855007936,mths_since_last_delinq,12.44226326980698,12.0,-0.44226326980698083,12.0
77,77,mths_since_last_delinq:31-56,0.205904923022159,8.412262441335471e-05,mths_since_last_delinq,16.05655628233673,16.0,-0.056556282336728714,16.0
78,78,mths_since_last_delinq:>=57,0.15859001818319887,0.0031204951271620865,mths_since_last_delinq,12.366919233404145,12.0,-0.3669192334041451,12.0
79,79,mths_since_last_record:Missing,0.2146438015059656,0.003348461533720561,mths_since_last_record,16.738017862566366,17.0,0.26198213743363397,17.0
80,80,mths_since_last_record:3-20,0.33037892161834187,0.004894662494246779,mths_since_last_record,25.763093332604473,26.0,0.23690666739552668,26.0
81,81,mths_since_last_record:21-31,0.23173198438232667,0.029449515398003608,mths_since_last_record,18.07056186438038,18.0,-0.07056186438038026,18.0
82,82,mths_since_last_record:32-80,0.3974497244648813,2.9606791993881733e-07,mths_since_last_record,30.993303980317222,31.0,0.006696019682777887,31.0
83,83,mths_since_last_record:81-86,0.04430763798761274,0.6076600210662058,mths_since_last_record,3.455129059779414,3.0,-0.4551290597794142,3.0
84,84,mths_since_last_record:>=86,0.11990698091761029,0.10946440851414517,mths_since_last_record,9.35039900693142,9.0,-0.35039900693142023,9.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
